delta_EQCONSUB,delta_NETIMIN,delta_EXTRA,delta_TRADE,delta_TRADEL,delta_OALIFSEP,delta_IGLTRAD,delta_SUBND,delta_EQPP,delta_FREPP,delta_IFIDUC,delta_FREPO,delta_OBSDIR,delta_LNLSNTV,delta_NCGTYPAR,delta_EINTEXP,delta_EQCSTKRX,delta_OALIFHYB,delta_CHBAL,delta_IGLSEC,FAIL?
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.582781456953642,0.0,0.8279671717171717,0.0,0.8467889908256879,0.0,0.0,1.1851851851851851,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8386476085761407,0.0,0.6818181818181818,0.0,0.0,1.5799931717309657,-0.14285714285714285,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004231311706629,0.0,1.0709894613583142,0.0,2.07920792079208,0.0,0.0,0.3268292682926829,-0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0618556701030928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7233441033925686,0.0,0.3145161290322581,0.0,0.0,0.9249201277955272,-0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.34975369458128,1.30208,0.935890226071308,3.6808703535811422,2.2282062984938382,0.0,0.0,2.99270744366336,-10.314814814814817,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,1.1010351363172473,0.0,0.2768762677484787,0.0,0.0,0.4179510723421001,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9920116194626,0.0,0.902521481898859,0.0,2.153409090909091,0.0,0.0,0.7674745345978222,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8775297308575005,0.0,0.3939393939393939,0.0,0.0,1.903284057172589,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-60.57344422991237,0.0,0.0,0.0,0.0,0.0,0.0,0.9085884988797608,0.0,1.3436636534885504,0.0,0.0,2.5512591182231064,0.4382909402519311,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5550964187327824,0.0,0.8879359634076616,0.0,0.5357142857142857,0.0,0.0,1.2739898989898992,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.826274944567627,0.36911425749094506,0.0,0.4525027808676307,0.0,0.0,1.5995562950637825,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285965942454492,0.0,0.7611617312072892,0.0,0.9108910891089108,0.0,0.0,18.01874414245548,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8587267215244687,0.0,0.833454281567489,0.0,1.8471749489448603,0.0,0.0,0.25065847234416155,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7672431756615962,0.0,0.64,0.0,0.0,2.1548322147651007,-0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.887220098306936,0.0,0.0,0.0,0.9422776911076444,0.0,2.2881136950904395,0.0,0.0,4.658617649053788,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7711101585940848,0.0,0.0,8.434613892122622,0.9544450579790172,0.0,0.5275330396475771,0.0,0.0,1.3947019867549668,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791044776119403,0.0,0.0,0.0,0.8682748019392221,0.0,1.6766668707524643,1.12448132780083,0.0,2.268342047562826,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8095552983964287,0.0,0.0,0.0,0.8022208883553421,0.0,0.5951219512195122,0.0,1.0457516339869282,2.517396520695861,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09830508474576273,0.0,11.335541285331445,0.0,0.9646660212971926,16.545454545454547,2.6911508101371,5.2444444444444445,0.0,0.6981578947368421,-17.333333333333332,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9173596673596672,0.0,0.782312925170068,0.0,0.0,2.1145334085142373,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3526717557251908,0.0,0.9397219994653836,0.0,1.2004357298474946,0.0,0.0,1.4961509270302504,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9022021848448066,0.0,0.5789473684210527,0.0,0.0,1.0990990990990992,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1796610169491526,0.0,0.8308160934128695,0.0,2.0640176600441498,0.0,0.0,1.6854304635761592,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3888888888888888,0.0,0.8741617357001973,0.0,0.6191860465116279,0.0,0.8390804597701149,3.255248091603053,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8624136939010357,0.0,1.067931371181476,0.0,25.70063694267516,0.01725276302569255,0.0,9.005208333333334,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025363769857158,0.0,0.6265625,0.9830508474576272,0.0,1.9753038631261128,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.240170535291331,0.0,0.9627370375281792,0.0,2.380641653072322,0.1646746347941567,0.0,0.5385990573703884,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8322167200699098,0.0,0.7459016393442623,0.0,0.0,1.921904302630874,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6672945608664942,0.0,0.937111801242236,0.0,1.1112266833090632,0.0,0.0,1.2736073983093708,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2916666666666667,2.9724711907810497,0.0,0.9271405492730208,0.0,0.6009174311926605,0.0,0.0,0.4608260088838484,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03277901716276632,0.7815539669518341,0.3352941176470588,1.1125695332718566,0.9561855670103092,0.0,8.13011295361692,154.5,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.072840680833069,3.4259846084201,0.9078391274710296,0.0,0.7326968973747017,0.0,0.0,2.5705076551168413,0.42857142857142855,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.511450381679392,0.0,0.8356607039815348,0.0,1.6528242289111854,0.0,0.0,1.0080198308544766,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7955042147986263,0.0,0.8989795918367347,0.0,1.4040948275862069,8.304369170348552,0.01282051282051282,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,1.0092854716340165,0.0,0.9207311980623878,0.0,0.0,1.515601217656012,-28.27611940298507,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013677811550151976,0.0,0.8333751568381429,0.0,0.4363636363636363,0.0,0.0,2.0960676316126547,0.0,0.0
1.0673234811165846,2.4285714285714284,1.0,1.1783479135758257,1.4186411187248942,1.0061645155076089,1.0233172019357677,1.0,1.0,0.954112554112554,1.2906724511930583,0.998905114888958,0.899431988306677,0.8231079265562025,0.6543624161073825,0.2289586305278174,1.082191780821918,0.0,1.6003557618726656,1.0295566502463054,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8641089996414486,0.9337349397590359,0.7416666666666667,0.0,0.0,1.1909103052160557,-0.6666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.231884057971016,0.0,0.8284236089114138,0.0,0.7059092940537706,0.0,0.0,1.1518962075848302,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.138690476190476,0.0,3.9052501887842297,0.9179718608972656,0.0,0.7966870887224871,0.0,1.045539686256146,6.36765953774684,0.0,0.0
0.0,0.0,0.0,0.1395897638948897,2721.147222222223,0.0,0.0,0.0,0.0,557.8800557880056,1.2393138357705291,7.03058744952258e-05,0.9285529434680332,1.5622540250447228,0.0974837790789682,1.7709478029438923,0.0,0.0,0.5220189308605511,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5998142989786444,0.0,0.9308449443947332,0.0,0.5917602996254682,0.0,1.0460176991150445,0.9614427860696516,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5813953488372093,0.0,1.0375580795043882,0.0,2.1106639839034207,0.0,0.0,1.6671532846715331,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030120481927710845,0.0,0.0,0.0,0.8657718120805371,0.0,1.016260162601626,0.0,1.0158013544018059,1.9820466786355475,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.7913445890968267,0.0,0.9859371307019618,32.83798882681564,1.898615291992776,0.0,0.0,1.4549725920125294,1.25,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.6800322061191626,0.0,0.6923076923076923,0.0,0.0,5.895691609977324,0.0,0.0
1.1,0.0,0.0,1.4596287452453234,1.1915561405285005,1.0304172691592646,1.817073170731708,1.0457005411906193,0.0,1.052685673429261,1.1586638830897704,0.7523409829702586,0.9213861084854521,0.7314406291962402,0.4866518353726363,0.09601052170100834,0.0,0.0,1.9216953102989007,0.42857142857142855,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30625,0.0,0.8026939017169922,0.0,0.1851851851851852,0.0,0.0,3.0484618864510287,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5843675732770003,1.0,0.03571428571428571,0.0,0.0,4.159222737819025,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0394736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9311762602788703,0.0,0.6571428571428571,0.0,1.048582995951417,1.6610776617635852,0.0,0.0
0.0,0.0,0.0,0.01078337789685488,0.025192442267319804,0.0,-0.7199822116809962,0.0,1.0,0.0,0.0,0.0,0.2944820855998862,0.5169073916737469,0.5624907885040531,0.08562570834667439,0.0,0.0,126.57060090037187,19.11214953271028,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.836272040302267,0.8813641900121804,0.0,0.5797101449275363,0.0,0.0,1.0674646354733406,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.16267525882833,0.0,2.132198048780488,0.0,0.8385272681578286,4.7909401402121174,0.6294006074172479,0.0,0.0,11.021802925974216,5.6242535246574406,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823529411764703,0.0,0.9110693175711982,0.0,0.7123809523809523,0.0,0.0,1.170472969842961,0.0,0.0
0.8815098013136335,0.10698047606311847,0.0,0.0,0.0,1.0788237341221507,0.0,0.0,0.0,0.0,0.0,0.0,0.6465809087090058,1.1694962426941276,0.0,0.4303900231105164,-0.0,0.0,0.3636037846856285,-0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714439655172415,0.0,0.7351778656126482,0.0,1.0333625987708517,3.6120459556690254,0.0,0.0
0.0,0.0,0.0,0.009930152519221478,0.0,0.0,518.5,0.15973850206636536,0.0,0.0,0.0,0.6306510585305106,0.0,1.2634621737694085,1.2643979057591623,0.6595080890948006,0.0,0.0,4.3202996198547545,-0.05987865588052271,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2201574114560558,0.0,0.6908113237387317,0.3901098901098901,0.7514792899408284,0.0,0.0,2.1733562186427253,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0028014343343792,0.0,1.458263865733022,0.7713754646840149,0.0,2.320763341332419,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7835205992509364,0.0,0.3288590604026846,0.0,0.0,2.49886296639434,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9444444444444455,0.0,1.0243125221291158,1.717032967032967,0.5679397983813715,0.0,0.0,0.9547619117564976,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5259234157912572,0.0,0.7847688123300091,1.4132231404958675,0.6206896551724138,0.0,0.0,1.133921246923708,1.5416666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.291139240506325,0.0,0.6110892129812114,0.0,0.18244845831052728,0.0,0.0,3.174749623837433,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15650623885918,0.8432572806529401,0.0,0.6743940990516333,0.0,0.0,5.502730351835211,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7719638242894056,8.5,1.6738002003460524,0.0,0.0,4.219065892923998,1142.6666666666667,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015137180700094607,0.0,0.9319706164164804,0.0,0.6428571428571429,0.0,0.0,2.0733991394583646,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7142857142857135,0.19588853357697572,0.8928170594837261,0.0,0.9195484864032836,0.0,0.0,0.6816176470588236,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3571048925031226,0.0,1.0,18.39903381642512,1.10873786407767,0.0,0.4405466041199266,0.0,1.0313287326103626,0.5022206500805723,8.571428571428571,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38922888616891066,0.0,0.9639923483740296,0.0,0.8800703082747431,0.0,0.0,0.7628821894376737,0.20178041543026706,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317417533050956,0.0,0.6143497757847534,0.0,0.0,1.135391645673443,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5764,0.0,0.017702186740715033,0.0,0.9737794980646772,0.0,1.4153455928979075,0.047,0.0,3.249260111805328,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6055045871559632,0.0,0.8556056419950561,0.0,1.0814479638009051,0.0,0.0,0.910680734210146,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8480282417771655,0.28452678166137085,0.8357732233164759,0.0,1.4783656479351517,0.06230529595015576,0.0,1.2234206471494606,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9215185835061416,0.0,0.9656862745098042,0.0,0.0,1.6238405519356076,0.0,0.0
